City,State,Max Size (sq ft),Setbacks,Parking,Occupancy,Additional Requirements,FAQ,URL
Bellevue,WA,"1,000","5 ft rear, 5 ft side",Not required (near transit),Required,; ADU allowed in single-family zones; Minimum 200 sq ft; 5-year owner occupancy required; Design review for exterior changes,Bellevue allows ADUs under strict design guidelines. The city requires owner occupancy for the first,https://aducheatsheet.com/cities/bellevue-wa.html
Everett,WA,"1,000","5 ft rear, 5 ft side",Required (1 space),Not required,; ADU by right in all residential zones; Minimum 200 sq ft; Short-term rentals prohibited; Building permit and utility connection required,Everett follows Washington state law and allows ADUs. Parking is required but no owner occupancy req,https://aducheatsheet.com/cities/everett-wa.html
Yakima,WA,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,; ADU allowed in low-density residential zones; Minimum 200 sq ft; Site plan review required; Owner must live on property,Yakima permits ADUs in low-density residential zones. Owner occupancy is a firm requirement.,https://aducheatsheet.com/cities/yakima-wa.html
Fort Collins,CO,"1,200","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 3,500 sq ft minimum; Minimum ADU size: 300 sq ft; One ADU per single-family lot; Short-term rental of ADU prohibited; Fort Collins has its own established ADU program",Fort Collins permits ADUs in lower-density neighborhoods. Owner occupancy is required and the ADU ca,https://aducheatsheet.com/cities/fort-collins-co.html
Greeley,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,"; Minimum lot size: 5,000 sq ft; ADU must be at least 200 sq ft; Owner must occupy the property; Separate utility meter required; ⚠️ CO has NO statewide ADU mandate",Greeley allows ADUs in residential zones. The property owner must occupy either the primary dwelling,https://aducheatsheet.com/cities/greeley-co.html
Pueblo,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,; ADU allowed in residential zones; Minimum 200 sq ft; Maximum height: 22 ft; Building permit required; ⚠️ CO has NO statewide ADU mandate — city-specific rules,Pueblo allows ADUs under Colorado state law (HB 24-1152). The owner occupancy requirement applies.,https://aducheatsheet.com/cities/pueblo-co.html
Boulder,CO,"1,200","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 5,000 sq ft minimum; Detailed design review process required; Green building requirements apply; Short-term rentals strictly prohibited; Boulder has its own specific ADU ordinance",Boulder has a rigorous ADU approval process with design review and green building standards. Plan fo,https://aducheatsheet.com/cities/boulder-co.html
Grand Junction,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,; ADU in lower-density single-family zones; Minimum 200 sq ft; Maximum 25% lot coverage; Building permit required; ⚠️ CO has NO statewide ADU mandate — verify with city,Grand Junction allows ADUs in single-family zones. Owner occupancy and off-street parking must be pr,https://aducheatsheet.com/cities/grand-junction-co.html
Riverside,CA,"1,200","4 ft rear, 4 ft side","Required (1 space, tandem OK)",Not required,; ADU by right in residential zones; Minimum 150 sq ft; Height limit: 16 ft for detached; Parking waived near transit,Riverside follows California state ADU law. Properties near transit stops may qualify for parking ex,https://aducheatsheet.com/cities/riverside-ca.html
San Bernardino,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; ADU by right in all residential zones; Minimum 150 sq ft; Conversion of existing structures encouraged; Building permit required,San Bernardino permits ADUs under California state law with minimal local restrictions beyond state ,https://aducheatsheet.com/cities/san-bernardino-ca.html
Santa Clarita,CA,"1,200","4 ft rear, 4 ft side",Required (1 space),Not required,; ADU allowed in single-family zones; Minimum 150 sq ft; Height limit: 16 ft; Fire sprinkler requirements for detached units,Santa Clarita permits ADUs under California law. Properties in high fire severity zones may have add,https://aducheatsheet.com/cities/santa-clarita-ca.html
Oxnard,CA,"1,200","4 ft rear, 4 ft side",Required (1 space),Not required,; Coastal zone design review may apply; Minimum 150 sq ft; Height limit: 16 ft detached; ADU by right on most lots,"Oxnard permits ADUs per state law. If your property is in the coastal zone, additional Coastal Commi",https://aducheatsheet.com/cities/oxnard-ca.html
Glendale,CA,"1,200","4 ft rear, 4 ft side",Not required,Not required,; ADU by right in residential zones; Minimum 150 sq ft; Garage conversion allowed; Dense urban lot constraints may apply,Glendale follows California state ADU law. Standard state minimums apply with no additional local re,https://aducheatsheet.com/cities/glendale-ca.html
Aurora,CO,"1,200","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 6,000 sq ft minimum; Minimum 300 sq ft; Design review for exterior changes; Short-term rentals prohibited; ⚠️ CO has NO statewide ADU mandate",Aurora allows ADUs in single-family zones. The city has specific design standards and a minimum lot ,https://aducheatsheet.com/cities/aurora-co.html
Lakewood,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 5,000 sq ft minimum; Minimum 200 sq ft; Maximum 35% total lot coverage; Owner occupancy required",Lakewood permits ADUs in residential zones with standard setbacks and parking requirements.,https://aducheatsheet.com/cities/lakewood-co.html
Thornton,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,"; Minimum lot size: 6,000 sq ft; Minimum ADU size: 200 sq ft; Owner must occupy property; Building permit and utility connections required",Thornton permits ADUs in residential neighborhoods. Verify the specific zone and minimum lot size be,https://aducheatsheet.com/cities/thornton-co.html
Arvada,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 5,500 sq ft minimum; Minimum 200 sq ft; Maximum 40% lot coverage; Design review for historic areas",Arvada permits ADUs in residential zones with specific lot size and coverage requirements.,https://aducheatsheet.com/cities/arvada-co.html
Westminster,CO,"1,000","5 ft rear, 5 ft side",Required (1 space),Required,"; ADU on lots 5,000 sq ft minimum; Minimum 200 sq ft; Owner occupancy mandatory; Building permit required — CO has no state ADU mandate",Westminster allows ADUs in certain residential zones. Contact the planning department to confirm you,https://aducheatsheet.com/cities/westminster-co.html
Kent,WA,"1,000","5 ft rear, 5 ft side",Not required (near transit),Not required,; ADU by right in all residential zones; Minimum 200 sq ft; WA HB 1337 prohibits excessive restrictions; No short-term rental use allowed,Kent follows Washington state law (HB 1337). Parking is waived within proximity to transit stops.,https://aducheatsheet.com/cities/kent-wa.html
Renton,WA,"1,000","5 ft rear, 5 ft side",Required (1 space),Not required,; ADU allowed in single-family zones; Minimum 200 sq ft; Height limit: 20 ft; HB 1337 statewide limits apply,Renton permits ADUs in residential zones. Parking may be required depending on transit proximity.,https://aducheatsheet.com/cities/renton-wa.html
Federal Way,WA,"1,000","5 ft rear, 5 ft side",Required (1 space),Not required,; ADU by right in residential zones; Minimum 200 sq ft; Short-term rental prohibited; State law HB 1337 applies,Federal Way permits ADUs under Washington state law. Owner occupancy is not required.,https://aducheatsheet.com/cities/federal-way-wa.html
Kirkland,WA,"1,000","5 ft rear, 5 ft side",Not required (near transit),Not required,; ADU by right in most residential zones; Minimum 200 sq ft; Design review for waterfront properties; Parking waived in transit zones (HB 1337),Kirkland allows ADUs under Washington state law. Waterfront properties may need additional design re,https://aducheatsheet.com/cities/kirkland-wa.html
Redmond,WA,"1,000","5 ft rear, 5 ft side",Not required (near transit),Not required,; ADU by right in residential zones; Minimum 200 sq ft; Tree retention standards may apply; Light rail proximity waives parking (HB 1337),Redmond permits ADUs under Washington's HB 1337. Parking is not required near the Redmond Technology,https://aducheatsheet.com/cities/redmond-wa.html
Eugene,OR,"1,200","5 ft rear, 5 ft side",Not required,Not required,; ADU by right in all residential zones (Oregon HB 2001); Minimum 200 sq ft; System development charges may apply; Owner occupancy not required,Eugene allows ADUs by right under Oregon's HB 2001. No owner occupancy requirement and parking is ge,https://aducheatsheet.com/cities/eugene-or.html
Salem,OR,"1,200","5 ft rear, 5 ft side",Not required,Not required,; ADU by right in residential zones (HB 2001); Minimum 200 sq ft; System development charges apply; One ADU per lot maximum,Salem permits ADUs under Oregon's HB 2001 statewide mandate. The process is streamlined with minimal,https://aducheatsheet.com/cities/salem-or.html
Gresham,OR,"1,200","5 ft rear, 5 ft side",Not required,Not required,; ADU by right in all residential zones; Minimum 200 sq ft; Max height: 20 ft; System development charges may be reduced for ADUs,Gresham permits ADUs under Oregon law. The city offers SDC reductions for ADUs to encourage construc,https://aducheatsheet.com/cities/gresham-or.html
Hillsboro,OR,"1,200","5 ft rear, 5 ft side",Not required,Not required,; ADU by right in all residential zones (HB 2001); Minimum 200 sq ft; Design review for historic districts only; No owner occupancy requirement,Hillsboro follows Oregon's HB 2001. ADUs are permitted by right with no additional local restriction,https://aducheatsheet.com/cities/hillsboro-or.html
Beaverton,OR,"1,200","5 ft rear, 5 ft side",Not required,Not required,; ADU by right in residential zones (HB 2001); Minimum 200 sq ft; MAX light rail proximity may reduce SDCs; Streamlined permit process available,Beaverton allows ADUs under Oregon state law. The city provides a streamlined process for standard A,https://aducheatsheet.com/cities/beaverton-or.html
